Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Værelser,Badeværelser,Toiletter,KælderAreal,Distance_to_rådhus,Nearest_Metro_Distance,Nearest_Tog_Distance,Price_per_kvdm,Price_million,Natural_log_Price,Natural_log_Price_per_kvdm,København,Albertslund,Ballerup,Brøndby,Frederiksberg,Furesø,Gentofte,Gladsaxe,Glostrup,Greve,Herlev,Hvidovre,Ishøj,Lyngby-Taarbak,Rudersdal,Rødovre,Tarnby,Vallensbak,Ejerlejlighed,Villa,Rækkehus,Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,D_metro_1-2,D_metro_2-3,D_metro_3_plus,D_Tog_1-3,D_Tog_3-6,D_Tog_6_plus,D_Radhus_1-5,D_Radhus_5-10,D_Radhus_10_plus,After corona lockdown,ejendom_alder,ln_ejendom_alder,ln_KælderAreal,Værelser_squared,Toiletter_squared,Badeværelser_squared,ln_Distance_to_rådhus,D_metro_0-1,D_Tog_0-1,D_Radhus_0-1
2023-04-30,5250000,"Solgt, Fri handel",1951,https://www.boligsiden.dk/adresse/skensvedvej-20-2700-broenshoej-01016444__20_______,Skensvedvej 20 2700 Brønshøj,Skensvedvej 20 2700,132.0,55.7015219,12.4785529,København,Villa,5.0,1.0,2.0,82.0,6.344650054486537,1.1549639734369428,0.6380376487125328,39772.72727272727,5.25,15.473738634567807,10.590936711981435,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,72,4.290459441148391,4.418840607796598,25.0,4.0,1.0,1.993972164445427,0,1,0
2022-03-11,9137500,"Solgt, Fri handel",1899,https://www.boligsiden.dk/adresse/moellegaardsvej-5-2100-koebenhavn-oe-01014896___5_______,Møllegårdsvej 5 2100 København Ø,Møllegårdsvej 5 2100,122.0,55.72092749999999,12.5493409,København,Villa,5.0,1.0,1.0,0.0,5.144479972770957,1.8443298581880025,0.5419985798596785,74897.54098360655,9.1375,16.02789738304017,11.223876338306914,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,124,4.8283137373023015,0.0,25.0,1.0,1.0,1.8155541133623079,0,1,0
2015-01-09,6675000,"Solgt, Fri handel",1941,https://www.boligsiden.dk/adresse/bangsbovej-71-2720-vanloese-01010380__71_______,Bangsbovej 71 2720 Vanløse,Bangsbovej 71 2720,232.0,55.692454,12.4921054,København,Villa,7.0,2.0,2.0,152.0,5.161166085883396,0.7013803556216631,0.5845080128872623,28771.55172413793,6.675,15.713879762250587,10.267142390584278,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,4.418840607796598,5.030437921392435,49.0,4.0,4.0,1.8182660592869047,1,1,0
2019-12-15,4475000,"Solgt, Fri handel",1925,https://www.boligsiden.dk/adresse/thorsmindevej-8-2720-vanloese-01017408___8_______,Thorsmindevej 8 2720 Vanløse,Thorsmindevej 8 2720,113.0,55.6922681,12.4717746,København,Villa,4.0,1.0,2.0,58.0,6.363220603435865,0.597141760923484,0.4090394810916831,39601.76991150442,4.475,15.314016909691093,10.586629090978752,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,98,4.59511985013459,4.07753744390572,16.0,4.0,1.0,1.9964974190182752,1,1,0
2022-04-12,6300000,"Solgt, Fri handel",1927,https://www.boligsiden.dk/adresse/volosvej-10-2300-koebenhavn-s-01018444__10_______,Volosvej 10 2300 København S,Volosvej 10 2300,126.0,55.6478124,12.6199037,København,Villa,4.0,1.0,1.0,36.0,4.471146864633195,1.19229859073135,4.253347918451226,50000.0,6.3,15.65606019136176,10.819778284410283,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,96,4.574710978503383,3.6109179126442243,16.0,1.0,1.0,1.6994882589241307,0,0,0
2021-01-18,6500000,"Solgt, Fri handel",1971,https://www.boligsiden.dk/adresse/kaalagervej-14-2300-koebenhavn-s-01014084__14_______,Kålagervej 14 2300 København S,Kålagervej 14 2300,149.0,55.6389105,12.5974892,København,Villa,6.0,2.0,2.0,0.0,4.494408091420546,1.016687435534872,3.7799619132192124,43624.161073825504,6.5,15.687312734865866,10.683366428920406,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,52,3.970291913552122,0.0,36.0,4.0,4.0,1.7037308643867495,0,0,0
2019-01-11,4250000,"Solgt, Fri handel",1934,https://www.boligsiden.dk/adresse/greisvej-18-2300-koebenhavn-s-01012288__18_______,Greisvej 18 2300 København S,Greisvej 18 2300,74.0,55.6447211,12.6195344,København,Villa,2.0,1.0,2.0,69.0,4.703143617572568,1.1828770316910937,4.4020439029561755,57432.43243243243,4.25,15.2624295409006,10.95836444769643,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,89,4.499809670330265,4.248495242049359,4.0,4.0,1.0,1.7410175346685717,0,0,0
2015-02-05,4800000,"Solgt, Fri handel",1940,https://www.boligsiden.dk/adresse/kirsten-kimers-vej-28-2300-koebenhavn-s-01013704__28_______,Kirsten Kimers Vej 28 2300 København S,Kirsten Kimers Vej 28 2300,119.0,55.6524119,12.6383453,København,Villa,5.0,1.0,1.0,108.0,5.074492809756711,0.5796750966234078,5.120086594606542,40336.13445378151,4.8,15.38412647587812,10.60500298276659,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,83,4.430816798843313,4.6913478822291435,25.0,1.0,1.0,1.804098497635395,1,0,0
2020-09-24,5350000,"Solgt, Fri handel",2022,https://www.boligsiden.dk/adresse/delosvej-18-2300-koebenhavn-s-01011292__18_______,Delosvej 18 2300 København S,Delosvej 18 2300,165.0,55.6517248,12.6238146,København,Villa,4.0,2.0,2.0,0.0,4.367284179070125,0.704867854646401,4.300472137357748,32424.242424242424,5.35,15.49260711887219,10.386661644971609,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.6931471805599453,0.0,16.0,4.0,4.0,1.6803220411259092,1,0,0
2018-02-08,3000000,"Solgt, Fri handel",2022,https://www.boligsiden.dk/adresse/delosvej-18-2300-koebenhavn-s-01011292__18_______,Delosvej 18 2300 København S,Delosvej 18 2300,165.0,55.6517248,12.6238146,København,Villa,4.0,2.0,2.0,0.0,4.367284179070125,0.704867854646401,4.300472137357748,18181.81818181818,3.0,14.914122846632385,9.808177372731803,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.6931471805599453,0.0,16.0,4.0,4.0,1.6803220411259092,1,0,0
