Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune
2016-05-20,1333000,"Solgt, Familiehandel",1898,https://www.boligsiden.dk/adresse/falkoner-alle-61-3-th-2000-frederiksberg-01470220__61__3__th,"Falkoner Alle 61, 3. th. 2000 Frederiksberg",Falkoner Alle 61,59.0,55.6857278,12.5388147,frederiksberg
2018-07-10,1900000,"Solgt, Familiehandel",1913,https://www.boligsiden.dk/adresse/thuroevej-7-0-th-2000-frederiksberg-01470802___7_st__th,"Thurøvej 7, st. th. 2000 Frederiksberg",Thurøvej 7,67.0,55.6835349,12.5253703,frederiksberg
2018-02-20,1955000,"Solgt, Familiehandel",1898,https://www.boligsiden.dk/adresse/smallegade-24-3-tv-2000-frederiksberg-01470724__24__3__tv,"Smallegade 24, 3. tv. 2000 Frederiksberg",Smallegade 24,71.0,55.6791233,12.5289053,frederiksberg
2016-12-14,2600000,"Solgt, Familiehandel",1904,https://www.boligsiden.dk/adresse/lykkesholms-alle-7a-4-th-1902-frederiksberg-c-01470520__7a__4__th,"Lykkesholms Allé 7A, 4. th. 1902 Frederiksberg C",Lykkesholms Allé 7,69.0,55.6768116,12.5474484,frederiksberg
2020-06-04,1657500,"Solgt, Familiehandel",2005,https://www.boligsiden.dk/adresse/holger-danskes-vej-102-1-4-2000-frederiksberg-01470376_102__1___4,"Holger Danskes Vej 102, 1. 4. 2000 Frederiksberg",Holger Danskes Vej 102,86.0,55.6885275,12.5301117,frederiksberg
2020-08-11,4000000,"Solgt, Familiehandel",1899,https://www.boligsiden.dk/adresse/henrik-ibsens-vej-8-3-th-1813-frederiksberg-c-01470364___8__3__th,"Henrik Ibsens Vej 8, 3. th. 1813 Frederiksberg C",Henrik Ibsens Vej 8,86.0,55.6731648,12.5387201,frederiksberg
2021-02-26,1250000,"Solgt, Familiehandel",1908,https://www.boligsiden.dk/adresse/schlegels-alle-1-0-th-1807-frederiksberg-c-01470706___1_st__th,"Schlegels Alle 1, st. th. 1807 Frederiksberg C",Schlegels Alle 1,49.0,55.670958,12.533033,frederiksberg
2016-06-15,1840000,"Solgt, Familiehandel",1974,https://www.boligsiden.dk/adresse/guldborgvej-36-3-14-2000-frederiksberg-01470334__36__3__14,"Guldborgvej 36, 3. 14. 2000 Frederiksberg",Guldborgvej 36,61.0,55.6869524,12.5280784,frederiksberg
2020-11-12,2400000,"Solgt, Familiehandel",1913,https://www.boligsiden.dk/adresse/munkensvej-7-2-tv-2000-frederiksberg-01470562___7__2__tv,"Munkensvej 7, 2. tv. 2000 Frederiksberg",Munkensvej 7,64.0,55.69389779999999,12.5343118,frederiksberg
2017-10-18,1402500,"Solgt, Familiehandel",1897,https://www.boligsiden.dk/adresse/langelandsvej-51-1-th-2000-frederiksberg-01470493__51__1__th,"Langelandsvej 51, 1. th. 2000 Frederiksberg",Langelandsvej 51,68.0,55.68657839999999,12.5311519,frederiksberg
2017-05-03,2800000,"Solgt, Familiehandel",1936,https://www.boligsiden.dk/adresse/normasvej-39-2-tv-2000-frederiksberg-01470589__39__2__tv,"Normasvej 39, 2. tv. 2000 Frederiksberg",Normasvej 39,89.0,55.6706075,12.5116482,frederiksberg
2020-04-15,571400,"Solgt, Familiehandel",1934,https://www.boligsiden.dk/adresse/groendalsvej-10-3-tv-2000-frederiksberg-01470331__10__3__tv,"Grøndalsvej 10, 3. tv. 2000 Frederiksberg",Grøndalsvej 10,54.0,56.1218647,10.1424858,frederiksberg
2017-07-24,1525000,"Solgt, Familiehandel",1885,https://www.boligsiden.dk/adresse/holger-danskes-vej-12-0-2000-frederiksberg-01470376__12_st____,"Holger Danskes Vej 12, st. 2000 Frederiksberg",Holger Danskes Vej 12,59.0,55.6866001,12.5384741,frederiksberg
