Date,Price,Status,Build Year,URL
,,,1960,https://www.boligsiden.dk/adresse/godthaabsvej-195-3-th-2720-vanloese-01012264_195__3__th
,,,1901,https://www.boligsiden.dk/adresse/murciagade-2-1-2300-koebenhavn-s-01014860___2__1____
,,,1901,https://www.boligsiden.dk/adresse/murciagade-2-1-2300-koebenhavn-s-01014860___2__1____
,,,1908,https://www.boligsiden.dk/adresse/strandvejen-61-4-th-2100-koebenhavn-oe-01017004__61__4__th
,,,1908,https://www.boligsiden.dk/adresse/strandvejen-61-4-th-2100-koebenhavn-oe-01017004__61__4__th
,,,1919,https://www.boligsiden.dk/adresse/hoejlandsvangen-44-0-2700-broenshoej-01013204__44_st____
,,,1919,https://www.boligsiden.dk/adresse/hoejlandsvangen-44-0-2700-broenshoej-01013204__44_st____
,,,1947,https://www.boligsiden.dk/adresse/engdals-alle-31-0-2500-valby-01011564__31_st____
,,,1906,https://www.boligsiden.dk/adresse/kastrupvej-2-5-th-2300-koebenhavn-s-01013600___2__5__th
,,,1906,https://www.boligsiden.dk/adresse/kastrupvej-2-5-th-2300-koebenhavn-s-01013600___2__5__th
,,,1905,https://www.boligsiden.dk/adresse/jernbane-alle-37-1-th-2720-vanloese-01013400__37__1__th
,,,1903,https://www.boligsiden.dk/adresse/marstalsgade-29-4-tv-2100-koebenhavn-oe-01014668__29__4__tv
,,,1903,https://www.boligsiden.dk/adresse/marstalsgade-29-4-tv-2100-koebenhavn-oe-01014668__29__4__tv
,,,2006,https://www.boligsiden.dk/adresse/toendergade-12-5-tv-1752-koebenhavn-v-01017780__12__5__tv
,,,1934,https://www.boligsiden.dk/adresse/humlehaven-13-0-2500-valby-01013084__13_st____
,,,1934,https://www.boligsiden.dk/adresse/humlehaven-13-0-2500-valby-01013084__13_st____
,,,1900,https://www.boligsiden.dk/adresse/kastrupvej-67-2-th-2300-koebenhavn-s-01013600__67__2__th
,,,1900,https://www.boligsiden.dk/adresse/kastrupvej-67-2-th-2300-koebenhavn-s-01013600__67__2__th
,,,1900,https://www.boligsiden.dk/adresse/kastrupvej-67-2-th-2300-koebenhavn-s-01013600__67__2__th
,,,1900,https://www.boligsiden.dk/adresse/kastrupvej-67-2-th-2300-koebenhavn-s-01013600__67__2__th
,,,1908,https://www.boligsiden.dk/adresse/store-kongensgade-116-4-tv-1264-koebenhavn-k-01016948_116__4__tv
,,,2017,https://www.boligsiden.dk/adresse/robert-jacobsens-vej-10y-3-th-2300-koebenhavn-s-01015894_10y__3__th
,,,1886,https://www.boligsiden.dk/adresse/brysselgade-6-3-th-2300-koebenhavn-s-01010920___6__3__th
,,,1953,https://www.boligsiden.dk/adresse/aeblehaven-23-1-2500-valby-01018504__23__1____
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-4-mf-2100-koebenhavn-oe-01015716__19__4__mf
,,,1936,https://www.boligsiden.dk/adresse/vigerslevvej-274-2-tv-2500-valby-01018320_274__2__tv
,,,1893,https://www.boligsiden.dk/adresse/helgolandsgade-6a-0-tv-1653-koebenhavn-v-01012772__6a_st__tv
,,,1893,https://www.boligsiden.dk/adresse/helgolandsgade-6a-0-tv-1653-koebenhavn-v-01012772__6a_st__tv
,,,1934,https://www.boligsiden.dk/adresse/hveensvej-6-4-tv-2300-koebenhavn-s-01013112___6__4__tv
,,,1930,https://www.boligsiden.dk/adresse/danshoejvej-25-1-2500-valby-01011268__25__1____
,,,1930,https://www.boligsiden.dk/adresse/danshoejvej-25-1-2500-valby-01011268__25__1____
,,,1962,https://www.boligsiden.dk/adresse/dronningensgade-42-1-5-1420-koebenhavn-k-01011352__42__1___5
,,,1962,https://www.boligsiden.dk/adresse/dronningensgade-42-1-5-1420-koebenhavn-k-01011352__42__1___5
,,,1930,https://www.boligsiden.dk/adresse/gimles-alle-2a-2-th-2300-koebenhavn-s-01012204__2a__2__th
,,,1932,https://www.boligsiden.dk/adresse/boeslundevej-2-1-2700-broenshoej-01010656___2__1____
,,,1895,https://www.boligsiden.dk/adresse/aalborggade-20-1-th-2100-koebenhavn-oe-01018668__20__1__th
,,,1895,https://www.boligsiden.dk/adresse/aalborggade-20-1-th-2100-koebenhavn-oe-01018668__20__1__th
,,,1932,https://www.boligsiden.dk/adresse/oeresundsvej-102-1-tv-2300-koebenhavn-s-01018544_102__1__tv
,,,1932,https://www.boligsiden.dk/adresse/oeresundsvej-102-1-tv-2300-koebenhavn-s-01018544_102__1__tv
,,,1932,https://www.boligsiden.dk/adresse/oeresundsvej-102-1-tv-2300-koebenhavn-s-01018544_102__1__tv
,,,1932,https://www.boligsiden.dk/adresse/oeresundsvej-102-1-tv-2300-koebenhavn-s-01018544_102__1__tv
,,,1932,https://www.boligsiden.dk/adresse/oeresundsvej-102-1-tv-2300-koebenhavn-s-01018544_102__1__tv
,,,1934,https://www.boligsiden.dk/adresse/blankavej-19-1-th-2500-valby-01010596__19__1__th
,,,1899,https://www.boligsiden.dk/adresse/vaernedamsvej-10-4-th-1619-koebenhavn-v-01018472__10__4__th
,,,1932,https://www.boligsiden.dk/adresse/engdraget-19-1-2500-valby-01011568__19__1____
,,,1925,https://www.boligsiden.dk/adresse/horseroedvej-11-1-2100-koebenhavn-oe-01013036__11__1____
,,,1925,https://www.boligsiden.dk/adresse/horseroedvej-11-1-2100-koebenhavn-oe-01013036__11__1____
,,,1936,https://www.boligsiden.dk/adresse/offenbachsvej-19-0-tv-2450-koebenhavn-sv-01015244__19_st__tv
,,,1936,https://www.boligsiden.dk/adresse/offenbachsvej-19-0-tv-2450-koebenhavn-sv-01015244__19_st__tv
,,,1936,https://www.boligsiden.dk/adresse/offenbachsvej-19-0-tv-2450-koebenhavn-sv-01015244__19_st__tv
,,,2003,https://www.boligsiden.dk/adresse/kirkegaardsvej-11-0-th-2300-koebenhavn-s-01013684__11_st__th
,,,1930,https://www.boligsiden.dk/adresse/lundtoftegade-93-4-tv-2200-koebenhavn-n-01014448__93__4__tv
,,,1936,https://www.boligsiden.dk/adresse/johan-kellers-vej-33-3-th-2450-koebenhavn-sv-01013412__33__3__th
,,,1898,https://www.boligsiden.dk/adresse/soender-boulevard-64-4-tv-1720-koebenhavn-v-01017288__64__4__tv
,,,1898,https://www.boligsiden.dk/adresse/soender-boulevard-64-4-tv-1720-koebenhavn-v-01017288__64__4__tv
,,,1903,https://www.boligsiden.dk/adresse/baldersgade-71-3-th-2200-koebenhavn-n-01010336__71__3__th
