Date,Price,Status,Build Year,URL
,,,1974,https://www.boligsiden.dk/adresse/vejledalen-50-1-mf-2635-ishoej-01830854__50__1__mf
,,,1935,https://www.boligsiden.dk/adresse/groennevej-23-1-2830-virum-01730302__23__1____
,,,1935,https://www.boligsiden.dk/adresse/groennevej-23-1-2830-virum-01730302__23__1____
,,,1939,https://www.boligsiden.dk/adresse/daugaardsvej-6-1-th-2800-kongens-lyngby-01730162___6__1__th
,,,1905,https://www.boligsiden.dk/adresse/kollemosevej-39a-1-2830-virum-01730452_39a__1____
,,,1907,https://www.boligsiden.dk/adresse/kildevaeldsvej-5-0-2830-virum-01730424___5_st____
,,,1907,https://www.boligsiden.dk/adresse/kildevaeldsvej-5-0-2830-virum-01730424___5_st____
,,,1907,https://www.boligsiden.dk/adresse/kildevaeldsvej-5-0-2830-virum-01730424___5_st____
,,,1907,https://www.boligsiden.dk/adresse/kildevaeldsvej-5-0-2830-virum-01730424___5_st____
,,,1900,https://www.boligsiden.dk/adresse/caroline-amalie-vej-72-0-2800-kongens-lyngby-01730142__72_st____
,,,1900,https://www.boligsiden.dk/adresse/caroline-amalie-vej-72-0-2800-kongens-lyngby-01730142__72_st____
,,,1900,https://www.boligsiden.dk/adresse/caroline-amalie-vej-72-0-2800-kongens-lyngby-01730142__72_st____
,,,1918,https://www.boligsiden.dk/adresse/hvidovrevej-7-1-2610-roedovre-01750365___7__1____
,,,1918,https://www.boligsiden.dk/adresse/hvidovrevej-7-1-2610-roedovre-01750365___7__1____
,,,1918,https://www.boligsiden.dk/adresse/hvidovrevej-7-1-2610-roedovre-01750365___7__1____
,,,1918,https://www.boligsiden.dk/adresse/hvidovrevej-7-1-2610-roedovre-01750365___7__1____
,,,1918,https://www.boligsiden.dk/adresse/hvidovrevej-7-1-2610-roedovre-01750365___7__1____
,,,1936,https://www.boligsiden.dk/adresse/roedovrevej-17-1-2610-roedovre-01750705__17__1____
,,,1978,https://www.boligsiden.dk/adresse/vedbaek-stationsvej-17-2-th-2950-vedbaek-02300690__17__2__th
,,,1956,https://www.boligsiden.dk/adresse/soelleroed-park-11-1-17-2840-holte-02300623__11__1__17
,,,1973,https://www.boligsiden.dk/adresse/vejlesoeparken-1-6-609-2840-holte-02300708___1__6_609
,,,1973,https://www.boligsiden.dk/adresse/vejlesoeparken-1-6-609-2840-holte-02300708___1__6_609
,,,1959,https://www.boligsiden.dk/adresse/byagervej-89-1-mf-3460-birkeroed-02300076__89__1__mf
,,,1956,https://www.boligsiden.dk/adresse/soelleroed-park-5-0-1-2840-holte-02300623___5_st___1
,,,1958,https://www.boligsiden.dk/adresse/naerum-hovedgade-92-1-2850-naerum-02300443__92__1____
,,,1958,https://www.boligsiden.dk/adresse/naerum-hovedgade-92-1-2850-naerum-02300443__92__1____
,,,1932,https://www.boligsiden.dk/adresse/solbakken-15-1-2840-holte-02300578__15__1____
,,,1932,https://www.boligsiden.dk/adresse/solbakken-15-1-2840-holte-02300578__15__1____
,,,1932,https://www.boligsiden.dk/adresse/solbakken-15-1-2840-holte-02300578__15__1____
,,,1956,https://www.boligsiden.dk/adresse/soelleroed-park-11-1-16-2840-holte-02300623__11__1__16
,,,1956,https://www.boligsiden.dk/adresse/soelleroed-park-11-1-21-2840-holte-02300623__11__1__21
,,,1956,https://www.boligsiden.dk/adresse/soelleroed-park-15-0-8-2840-holte-02300623__15_st___8
,,,1963,https://www.boligsiden.dk/adresse/broenderslev-alle-112-1-2770-kastrup-01851210_112__1____
,,,1963,https://www.boligsiden.dk/adresse/broenderslev-alle-112-1-2770-kastrup-01851210_112__1____
,,,1951,https://www.boligsiden.dk/adresse/kastruplundgade-43-1-th-2770-kastrup-01851830__43__1__th
,,,1951,https://www.boligsiden.dk/adresse/kastruplundgade-43-1-th-2770-kastrup-01851830__43__1__th
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-4-0-3-2665-vallensbaek-strand-01879267___4_st___3
,,,1952,https://www.boligsiden.dk/adresse/baekkeskovvej-15-1-tv-2665-vallensbaek-strand-01870958__15__1__tv
,,,1952,https://www.boligsiden.dk/adresse/baekkeskovvej-15-1-tv-2665-vallensbaek-strand-01870958__15__1__tv
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-68-0-1-2665-vallensbaek-strand-01879267__68_st___1
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-24-2-21-2665-vallensbaek-strand-01879267__24__2__21
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-52-1-13-2665-vallensbaek-strand-01879267__52__1__13
,,,1969,https://www.boligsiden.dk/adresse/vejlegaardsparken-82-2-mf-2665-vallensbaek-strand-01879267__82__2__mf
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-24-3-38-2665-vallensbaek-strand-01879267__24__3__38
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-32-2-27-2665-vallensbaek-strand-01879267__32__2__27
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-2-0-3-2665-vallensbaek-strand-01879267___2_st___3
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-22-1-12-2665-vallensbaek-strand-01879267__22__1__12
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-2-3-36-2665-vallensbaek-strand-01879267___2__3__36
,,,1966,https://www.boligsiden.dk/adresse/vejlegaardsparken-24-5-54-2665-vallensbaek-strand-01879267__24__5__54
