Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Nearest_Metro_Distance,Nearest_Tog_Distance
2020-09-08,5995000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/ole-borchs-vej-47a-2500-valby-01015264_47a_______,Ole Borchs Vej 47A 2500 Valby,Ole Borchs Vej 47A 2500,136.0,55.6625081,12.4944027,København,Villa,,
2016-12-20,1000000,"Solgt, Fri handel""}]",2017,https://www.boligsiden.dk/adresse/ole-borchs-vej-47a-2500-valby-01015264_47a_______,Ole Borchs Vej 47A 2500 Valby,Ole Borchs Vej 47A 2500,136.0,55.6625081,12.4944027,København,Villa,,
2019-10-26,4000000,"Solgt, Fri handel",1951,https://www.boligsiden.dk/adresse/skensvedvej-40-2700-broenshoej-01016444__40_______,Skensvedvej 40 2700 Brønshøj,Skensvedvej 40 2700,139.0,55.7031801,12.4778348,København,Villa,,
2023-06-18,5000000,"Solgt, Fri handel",2003,https://www.boligsiden.dk/adresse/slusevej-35-2300-koebenhavn-s-01016616__35_______,Slusevej 35 2300 København S,Slusevej 35 2300,93.0,55.6295657,12.5865085,København,Villa,,
2022-09-01,8700000,"Solgt, Fri handel",1940,https://www.boligsiden.dk/adresse/koreavej-18-2300-koebenhavn-s-01013888__18_______,Koreavej 18 2300 København S,Koreavej 18 2300,119.0,55.64934599999999,12.6305587,København,Villa,,
2023-08-11,6775000,"Solgt, Fri handel",1935,https://www.boligsiden.dk/adresse/astrupvej-42-2700-broenshoej-01010260__42_______,Astrupvej 42 2700 Brønshøj,Astrupvej 42 2700,120.0,55.7017924,12.4917541,København,Villa,,
2020-06-09,5325000,"Solgt, Fri handel",1956,https://www.boligsiden.dk/adresse/volosvej-1-2300-koebenhavn-s-01018444___1_______,Volosvej 1 2300 København S,Volosvej 1 2300,126.0,55.6479314,12.6187706,København,Villa,,
2018-08-05,4400000,"Solgt, Fri handel",1967,https://www.boligsiden.dk/adresse/wibrandtsvej-53b-2300-koebenhavn-s-01018296_53b_______,Wibrandtsvej 53B 2300 København S,Wibrandtsvej 53B 2300,157.0,55.6476272,12.6259428,København,Villa,,
2017-09-16,4475000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/graabynkevej-26-2700-broenshoej-01012388__26_______,Gråbynkevej 26 2700 Brønshøj,Gråbynkevej 26 2700,138.0,55.7099765,12.4910474,København,Villa,,
2020-08-20,3647500,"Solgt, Fri handel""}]",2021,https://www.boligsiden.dk/adresse/danhaven-17-2500-valby-01011256__17_______,Danhaven 17 2500 Valby,Danhaven 17 2500,180.0,55.6509364,12.4938165,København,Villa,,
2020-02-18,3750000,"Solgt, Fri handel",2022,https://www.boligsiden.dk/adresse/tjoernelunds-alle-17-2500-valby-01017500__17_______,Tjørnelunds Allé 17 2500 Valby,Tjørnelunds Allé 17 2500,161.0,55.6588754,12.4800766,København,Villa,,
2018-02-01,4800000,"Solgt, Fri handel",1952,https://www.boligsiden.dk/adresse/hvalsoevej-68-2700-broenshoej-01013104__68_______,Hvalsøvej 68 2700 Brønshøj,Hvalsøvej 68 2700,102.0,55.7013553,12.4861592,København,Villa,,
2019-03-26,5537500,"Solgt, Fri handel",1936,https://www.boligsiden.dk/adresse/roshagevej-9-2720-vanloese-01015964___9_______,Roshagevej 9 2720 Vanløse,Roshagevej 9 2720,156.0,55.6965215,12.4680336,København,Villa,,
2016-05-09,3075000,"Solgt, Fri handel",1937,https://www.boligsiden.dk/adresse/bakkekammen-21-2700-broenshoej-01010324__21_______,Bakkekammen 21 2700 Brønshøj,Bakkekammen 21 2700,209.0,55.7056702,12.4600972,København,Villa,,
2021-03-02,9725000,"Solgt, Fri handel",1949,https://www.boligsiden.dk/adresse/nebbegaardsbakken-39-2400-koebenhavn-nv-01014956__39_______,Nebbegårdsbakken 39 2400 København NV,Nebbegårdsbakken 39 2400,239.0,55.71428830000001,12.5108006,København,Villa,,
2020-06-18,7700000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/borrebyvej-62-2700-broenshoej-01010752__62_______,Borrebyvej 62 2700 Brønshøj,Borrebyvej 62 2700,158.0,55.6997314,12.4946514,København,Villa,,
2019-08-20,6795000,"Solgt, Fri handel",1943,https://www.boligsiden.dk/adresse/hvedevej-53-2700-broenshoej-01013108__53_______,Hvedevej 53 2700 Brønshøj,Hvedevej 53 2700,154.0,55.7122153,12.4967159,København,Villa,,
2022-02-18,6000000,"Solgt, Fri handel",1961,https://www.boligsiden.dk/adresse/oestergaards-alle-27-2500-valby-01018596__27_______,Østergårds Allé 27 2500 Valby,Østergårds Allé 27 2500,168.0,56.0751077,10.0438334,København,Villa,,
2019-05-20,8000000,"Solgt, Fri handel",1938,https://www.boligsiden.dk/adresse/hvedevej-43-2700-broenshoej-01013108__43_______,Hvedevej 43 2700 Brønshøj,Hvedevej 43 2700,177.0,55.7113262,12.4955039,København,Villa,,
2018-04-12,6295000,"Solgt, Fri handel",1924,https://www.boligsiden.dk/adresse/koreavej-20-2300-koebenhavn-s-01013888__20_______,Koreavej 20 2300 København S,Koreavej 20 2300,134.0,55.6494061,12.6309328,København,Villa,,
2016-08-02,2678000,"Solgt, Fri handel",1951,https://www.boligsiden.dk/adresse/islevhusvej-55-2700-broenshoej-01013308__55_______,Islevhusvej 55 2700 Brønshøj,Islevhusvej 55 2700,122.0,55.7088621,12.4629262,København,Villa,,
2021-08-04,5850000,"Solgt, Fri handel",2008,https://www.boligsiden.dk/adresse/slusevej-135-2300-koebenhavn-s-01016616_135_______,Slusevej 135 2300 København S,Slusevej 135 2300,135.0,55.6288764,12.5825098,København,Villa,,
2019-03-26,4400000,"Solgt, Fri handel",1957,https://www.boligsiden.dk/adresse/kornskyldvej-71-2300-koebenhavn-s-01013912__71_______,Kornskyldvej 71 2300 København S,Kornskyldvej 71 2300,141.0,55.6324845,12.5868002,København,Villa,,
2021-01-12,4700000,"Solgt, Fri handel",1986,https://www.boligsiden.dk/adresse/boltonvej-23-2300-koebenhavn-s-01010688__23_______,Boltonvej 23 2300 København S,Boltonvej 23 2300,136.0,55.6429935,12.6026724,København,Villa,,
2023-05-14,5950000,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/thyvej-30-2720-vanloese-01017436__30_______,Thyvej 30 2720 Vanløse,Thyvej 30 2720,87.0,55.6952303,12.5014371,København,Villa,,
2018-02-12,4210150,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/thyvej-30-2720-vanloese-01017436__30_______,Thyvej 30 2720 Vanløse,Thyvej 30 2720,87.0,55.6952303,12.5014371,København,Villa,,
2021-08-29,7400000,"Solgt, Fri handel",1935,https://www.boligsiden.dk/adresse/kirsten-kimers-vej-22-2300-koebenhavn-s-01013704__22_______,Kirsten Kimers Vej 22 2300 København S,Kirsten Kimers Vej 22 2300,84.0,55.6523548,12.6368082,København,Villa,,
2020-02-29,7550000,"Solgt, Fri handel",1967,https://www.boligsiden.dk/adresse/kirketoften-10-2700-broenshoej-01013688__10_______,Kirketoften 10 2700 Brønshøj,Kirketoften 10 2700,184.0,55.706933,12.5004459,København,Villa,,
2016-06-13,5400000,"Solgt, Fri handel",1967,https://www.boligsiden.dk/adresse/kirketoften-10-2700-broenshoej-01013688__10_______,Kirketoften 10 2700 Brønshøj,Kirketoften 10 2700,184.0,55.706933,12.5004459,København,Villa,,
2018-12-09,2800000,"Solgt, Fri handel",1924,https://www.boligsiden.dk/adresse/merloesevej-26-2700-broenshoej-01014724__26_______,Merløsevej 26 2700 Brønshøj,Merløsevej 26 2700,54.0,55.7046748,12.4701986,København,Villa,,
2018-08-26,3480000,"Solgt, Fri handel",1929,https://www.boligsiden.dk/adresse/oerevadsvej-11-2400-koebenhavn-nv-01018548__11_______,Ørevadsvej 11 2400 København NV,Ørevadsvej 11 2400,80.0,55.7138879,12.5190592,København,Villa,,
2017-05-29,1730836,"Solgt, Fri handel",2022,https://www.boligsiden.dk/adresse/sandhoejen-26-2720-vanloese-01016216__26_______,Sandhøjen 26 2720 Vanløse,Sandhøjen 26 2720,202.0,55.6953897,12.4670485,København,Villa,,
2016-05-06,4875000,"Solgt, Fri handel",1903,https://www.boligsiden.dk/adresse/cypernsvej-12-2300-koebenhavn-s-01011196__12_______,Cypernsvej 12 2300 København S,Cypernsvej 12 2300,141.0,55.6518768,12.617709,København,Villa,,
2021-04-09,9100000,"Solgt, Fri handel",1929,https://www.boligsiden.dk/adresse/boltonvej-12-2300-koebenhavn-s-01010688__12_______,Boltonvej 12 2300 København S,Boltonvej 12 2300,130.0,55.6442686,12.6018991,København,Villa,,
2020-01-20,4300000,"Solgt, Fri handel",2021,https://www.boligsiden.dk/adresse/engdals-alle-13-2500-valby-01011564__13_______,Engdals Allé 13 2500 Valby,Engdals Allé 13 2500,257.0,55.65917229999999,12.4789058,København,Villa,,
2018-04-29,4675000,"Solgt, Fri handel",1943,https://www.boligsiden.dk/adresse/birmavej-41-2300-koebenhavn-s-01010516__41_______,Birmavej 41 2300 København S,Birmavej 41 2300,72.0,55.6466793,12.6320367,København,Villa,,
2015-08-17,3950000,"Solgt, Fri handel",1943,https://www.boligsiden.dk/adresse/birmavej-41-2300-koebenhavn-s-01010516__41_______,Birmavej 41 2300 København S,Birmavej 41 2300,72.0,55.6466793,12.6320367,København,Villa,,
2015-06-18,4195000,"Solgt, Fri handel",1948,https://www.boligsiden.dk/adresse/roenhaven-11-2500-valby-01016120__11_______,Rønhaven 11 2500 Valby,Rønhaven 11 2500,137.0,55.6530562,12.5001446,København,Villa,,
2020-10-12,6695000,"Solgt, Fri handel",1942,https://www.boligsiden.dk/adresse/lilliendalsvej-15b-2700-broenshoej-01014308_15b_______,Lilliendalsvej 15B 2700 Brønshøj,Lilliendalsvej 15B 2700,157.0,55.7007272,12.4871281,København,Villa,,
2021-04-28,8500000,"Solgt, Fri handel",1929,https://www.boligsiden.dk/adresse/hoejstrupvej-4-2720-vanloese-01013220___4_______,Højstrupvej 4 2720 Vanløse,Højstrupvej 4 2720,149.0,55.6932292,12.4880082,København,Villa,,
2020-08-19,4900000,"Solgt, Fri handel",1929,https://www.boligsiden.dk/adresse/hoejstrupvej-4-2720-vanloese-01013220___4_______,Højstrupvej 4 2720 Vanløse,Højstrupvej 4 2720,149.0,55.6932292,12.4880082,København,Villa,,
2018-01-19,4225000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/snertingevej-10-2700-broenshoej-01016664__10_______,Snertingevej 10 2700 Brønshøj,Snertingevej 10 2700,118.0,55.7015603,12.4708899,København,Villa,,
